what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1385039078684
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1385039084856
activated,editor,org.eclipse.php.ui,2.2.0.v20100616-1900,"org.eclipse.php.editor",1385039104936
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1385039109498
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1385039145003
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1385039145144
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1385039145863
opened,editor,org.eclipse.php.ui,2.2.0.v20100616-1900,"org.eclipse.php.editor",1385039145925
activated,editor,org.eclipse.php.ui,2.2.0.v20100616-1900,"org.eclipse.php.editor",1385039145972
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1385039169443
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1385039235933
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1385039243199
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1385039273873
activated,editor,org.eclipse.php.ui,2.2.0.v20100616-1900,"org.eclipse.php.editor",1385039273998
activated,editor,org.eclipse.php.ui,2.2.0.v20100616-1900,"org.eclipse.php.editor",1385039283265
activated,editor,org.eclipse.php.ui,2.2.0.v20100616-1900,"org.eclipse.php.editor",1385039284280
activated,editor,org.eclipse.php.ui,2.2.0.v20100616-1900,"org.eclipse.php.editor",1385039286390
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1385039300531
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1385039338361
activated,view,org.eclipse.php.ui,2.2.0.v20100616-1900,"org.eclipse.php.ui.explorer",1385039338393
opened,editor,org.eclipse.php.ui,2.2.0.v20100616-1900,"org.eclipse.php.editor",1385039340830
activated,editor,org.eclipse.php.ui,2.2.0.v20100616-1900,"org.eclipse.php.editor",1385039340893
activated,view,org.eclipse.php.ui,2.2.0.v20100616-1900,"org.eclipse.php.ui.explorer",1385039361862
opened,editor,org.eclipse.php.ui,2.2.0.v20100616-1900,"org.eclipse.php.editor",1385039362019
activated,editor,org.eclipse.php.ui,2.2.0.v20100616-1900,"org.eclipse.php.editor",1385039362081
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1385039439209
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1385039440271
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1385039449792
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.copy",1385039455704
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1385039461954
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1385039462751
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1385039464282
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1385039471034
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.cut",1385039486754
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1385039491223
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1385039491645
